NOME;PONTUACAO;COMENTARIO;LOCAL;TIPO;TEMPO_ESPERA;BUSCA_ID
Garagem Farias Brito NAG;;;R. Carlos Gomes, 800 - Centro, Fortaleza - CE, 60040-230;;;Ensino Médio
Escola Modelo de Tempo Integral da Vacaris;;;R. Zacarias Florindo, 130 - Granja Portugal, Fortaleza - CE, 60545-272;;;Ensino Médio
CEFOR - Centro Educacional de Fortaleza;;;R. Tibúrcio Cavalcante, 1958 - Aldeota, Fortaleza - CE, 60125-045;;;Ensino Médio
Supletivo J Oliveira - Sede Centro;;;Avenida Imperador, 195 - Centro, Fortaleza - CE, 60015-051;;;Ensino Médio
ESCOLA DE ENSINO FUNDAMENTAL NOVO CAMINHO LTDA;;;R. Cruz Abreu, 649 - São João do Tauape, Fortaleza - CE, 60130-440;;;Ensino Médio
Faculdade Multiversa - Fortaleza;;;R. Barão do Rio Branco, 2029 - Centro, Fortaleza - CE, 60025-061;;;Ensino Médio
Universidade do Parlamento Cearense;;;R. Barbosa de Freitas, 2674 - anexo 2 - Dionísio Torres, Fortaleza - CE, 60130-241;;;Ensino Médio
SINEPE-CE;2.6;5 comentários;R. Sen. Pompeu, 1381 - Centro, Fortaleza - CE, 60025-000;Sindicato em Fortaleza, Ceará;;Ensino Médio
UNICE;;;Rua Dona Leopoldina, 912 - Aldeota, Fortaleza - CE, 60110-001;;;Ensino Médio
CEPEP Cursos Profissionalizantes;;;Rua 24 de Maio, 1255 - Centro, Fortaleza - CE, 60020-001;;;Ensino Médio
Polo Fortaleza Centro;;;Rua Dona Leopoldina, 912 - Centro, Fortaleza - CE, 60110-001;;;Ensino Médio
Gracom | School Of Visual Effects;;;R. Floriano Peixoto, 484 - Centro, Fortaleza - CE, 60025-130;;;Ensino Médio
Faculdade CDL - A melhor escola de negócios do Ceará;;;R. Vinte e Cinco de Março, 780 - Centro, Fortaleza - CE, 60060-120;;;Ensino Médio
Associação de Educação Católica do Ceará;5.0;Um comentário;R. Eugênio Pôrto, 71 - Fátima, Fortaleza - CE, 60055-290;Associação em Fortaleza, Ceará;;Ensino Médio
Cruzeiro do Sul Virtual - Polo HUB Fortaleza;;;R. Vinte e Cinco de Março, 280 - Centro, Fortaleza - CE, 60060-120;;;Ensino Médio
CIEE Fortaleza;4.1;779 comentários;R. Monsenhor Bruno, 1153 - Meireles, Fortaleza - CE, 60115-191;Organização sem fins lucrativos em Fortaleza, Ceará;;Ensino Médio
Faculdade de Ciências Humanas de Fortaleza - FCHFOR;;;Rua Dona Leopoldina, 912 - Centro, Fortaleza - CE, 60110-001;;;Ensino Médio
Edições IPDH - Grafica Editora e Serviço;4.3;6 comentários;Av. dos Flamboyants, 124 - Cidade 2000, Fortaleza - CE, 60190-570;Editora em Fortaleza, Ceará;;Ensino Médio
Clauder Ciarlini Filho & Cia;;;R. Barão de Aratanha, 51 - Centro, Fortaleza - CE, 60050-070;;;Ensino Médio
Centro Universitário Estácio do Ceará - Campus Centro;;;Av. Duque de Caxias, 101 - Centro, Fortaleza - CE, 60035-111;;;Ensino Médio
Academia Vera Passos;;;Rua Dr. Ribamar Lobo, 469 - Cocó, Fortaleza - CE, 60192-230;;15 min a 1 h;Ensino Médio
